房屋编号,城市,区,方位,房屋名,大小,租赁方式,朝向,月租,计费方式,几室,几厅,几卫,入住,租期,看房,所在楼层,总楼层,电梯,车位,用水,用电,燃气,供暖
房源编号：BJ2566447526412820480,北京,昌平,回龙观,朱辛庄北区,16㎡,合租,北卧,1800,季付价,3居,室 ,16,随时入住,7~12个月,随时可看,5,6层,无,租用车位,民水,民电,有,自采暖
房源编号：BJ2566442339728375808,北京,昌平,回龙观,朱辛庄北区,20㎡,合租,南卧,2350,季付价,3居,室 ,20,随时入住,1年,随时可看,6,6层,无,租用车位,民水,民电,有,自采暖
房源编号：BJ2566443621499019264,北京,昌平,回龙观,朱辛庄北区,17㎡,合租,南卧,2205,季付价,3居,室 ,17,随时入住,1年,随时可看,6,6层,无,租用车位,民水,民电,有,自采暖
房源编号：BJ2502688565323112448,北京,朝阳,华威桥,弘燕路小区,50㎡,整租,南,4200,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2566402387489333248,北京,昌平,回龙观,朱辛庄北区,15㎡,合租,北卧,1800,季付价,3居,室 ,15,随时入住,1年,随时可看,6,6层,无,租用车位,民水,民电,有,自采暖
房源编号：BJ2502711408400007168,北京,石景山,八角,八角路小区,37㎡,整租,南/北,2600,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,高楼层,5层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2566437106738544640,北京,昌平,回龙观,朱辛庄北区,17㎡,合租,南卧,2100,季付价,3居,室 ,17,随时入住,1年,随时可看,6,6层,无,租用车位,民水,民电,有,集中供暖
房源编号：BJ2502753808149921792,北京,海淀,定慧寺,亮甲店小区,45㎡,整租,南/北,4500,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2566412519644340224,北京,昌平,回龙观,朱辛庄北区,25㎡,合租,南卧,2350,季付价,3居,室 ,25,随时入住,11个月以上,随时可看,6,6层,无,租用车位,民水,民电,有,自采暖
房源编号：BJ2504154724249911296,北京,石景山,八角,八角路小区,15㎡,整租,南,2300,季付价,1室,0厅,1卫,随时入住,3年以内,需提前预约,高楼层,5层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2504211995893972992,北京,朝阳,红庙,慈云寺,40㎡,整租,南,3400,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2504292947202146304,北京,丰台,丽泽,前泥洼小区,46㎡,整租,南,3600,NULL,1室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2505567337231958016,北京,朝阳,潘家园,华威西里,52㎡,整租,南,4500,季付价,1室,1厅,1卫,随时入住,暂无数据,需提前预约,低楼层,6层,无,租用车位,民水,民电,有,集中供暖
房源编号：BJ2505840852308869120,北京,朝阳,潘家园,华威西里,47㎡,整租,南,4000,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,中楼层,6层,无,租用车位,民水,民电,有,集中供暖
房源编号：BJ2564719772587794432,北京,通州,九棵树(家乐福),大方居,14㎡,合租,南卧,2370,季付价,2居,室 ,14,随时入住,1~4个月,随时可看,14,15层,有,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2507063636452196352,北京,西城,阜成门,阜成门北大街,41㎡,整租,东,5000,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,13层,有,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2486555685853609984,北京,丰台,方庄,芳星园二区,9㎡,合租,北卧,2630,季付价,3居,室 ,9㎡,随时入住,1年,随时可看,14,25层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2507845719352942592,北京,大兴,黄村中,黄村西里,40㎡,整租,南,2700,季付价,1室,1厅,1卫,随时入住,3年以上,需提前预约,中楼层,5层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2497740142107181056,北京,大兴,黄村中,黄村西里,45㎡,整租,南,2600,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,5层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2500658601274638336,北京,丰台,看丹桥,新华街二里,30㎡,整租,西/北,2800,季付价,1室,1厅,0卫,随时入住,3年以内,需提前预约,中楼层,5层,无,暂无数据,民水,民电,无,集中供暖
房源编号：BJ2500782249675325440,北京,朝阳,常营,荟康苑,50㎡,整租,南/北,3700,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2501323386421526528,北京,西城,马连道,太平里,53㎡,整租,南,4500,季付价,2室,0厅,1卫,随时入住,3年以内,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2502004171033542656,北京,东城,天坛,金鱼池东区,56㎡,整租,南/北,5000,季付价,2室,1厅,1卫,随时入住,3年以上,需提前预约,地下室,5层,无,暂无数据,民水,民电,有,自采暖
房源编号：BJ2501988186784808960,北京,丰台,刘家窑,贾家花园小区,54㎡,整租,南/北,4000,NULL,2室,1厅,1卫,随时入住,2年以内,需提前预约,地下室,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2292191897180962816,北京,丰台,马家堡,富卓苑,35㎡,整租,北,4060,季付价,1室,1厅,1卫,随时入住,1~4个月,随时可看,7,20层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2544132443275788288,北京,房山,良乡,绿地诺亚方舟,39㎡,整租,东,2450,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,17层,有,免费使用,暂无数据,暂无数据,无,集中供暖
房源编号：BJ2537246346705117184,北京,朝阳,望京,南湖东园一区,12㎡,合租,西卧,3230,季付价,2居,室 ,12,随时入住,3~6个月,随时可看,22,28层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2544686145426423808,北京,石景山,八角,八角路小区,38㎡,整租,南/北,2400,季付价,2室,0厅,1卫,随时入住,3年以内,需提前预约,低楼层,5层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2530563530181050368,北京,朝阳,红庙,延静里中街,9㎡,合租,北卧,2970,季付价,3居,室 ,9㎡,随时入住,3~6个月,随时可看,3,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2544893282639953920,北京,东城,和平里,青年沟,41㎡,整租,南,4800,季付价,1室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2558109874298814464,北京,昌平,回龙观,朱辛庄南区,9㎡,合租,北卧,2290,季付价,3居,室 ,9㎡,随时入住,1年,随时可看,4,6层,无,租用车位,民水,民电,有,自采暖
房源编号：BJ2498055572272709632,北京,通州,通州北苑,世纪星城三期,10㎡,合租,北卧,1990,季付价,2居,室 ,10,随时入住,1~4个月,随时可看,6,31层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2503417160387534848,北京,通州,北关,天赐良园东三期A区,6㎡,合租,北卧,1830,季付价,4居,室 ,6㎡,随时入住,1年,随时可看,5,6层,无,租用车位,民水,民电,有,集中供暖
房源编号：BJ2430506179919880192,北京,顺义,顺义城,建新北区,53㎡,整租,南,3000,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,5层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2252181989849841664,北京,丰台,宋家庄,嘉和人家,11㎡,合租,北卧,2370,季付价,4居,室 ,11,随时入住,3~6个月,随时可看,5,6层,无,租用车位,民水,民电,有,集中供暖
房源编号：BJ2431721923168698368,北京,丰台,岳各庄,大井南里,53㎡,整租,南/北,3500,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2491318681339174912,北京,昌平,回龙观,朱辛庄南区,11㎡,合租,北卧,2390,季付价,2居,室 ,11,随时入住,1年,随时可看,1,6层,无,租用车位,民水,民电,有,自采暖
房源编号：BJ2491090737098670080,北京,昌平,鼓楼大街,北环里小区,43㎡,整租,南,2300,NULL,1室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,5层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2560279136652230656,北京,石景山,苹果园,模式口西里,8㎡,合租,北卧,1860,季付价,3居,室 ,8㎡,随时入住,1年,随时可看,3,16层,有,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2497071198995742720,北京,海淀,定慧寺,八宝庄,43㎡,整租,南,4000,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2497156316515549184,北京,丰台,玉泉营,刘家村126号院,46㎡,整租,南/北,3800,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,暂无数据,集中供暖
房源编号：BJ2497740142107181056,北京,大兴,黄村中,黄村西里,45㎡,整租,南,2600,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,5层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2486987871660015616,北京,朝阳,三里屯,中纺东里,40㎡,整租,南,4500,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,5层,无,租用车位,民水,民电,有,集中供暖
房源编号：BJ2489786693037588480,北京,朝阳,亚运村,慧忠里,46㎡,整租,东南,4600,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,6层,无,租用车位,民水,民电,有,集中供暖
房源编号：BJ2200646801760198656,北京,朝阳,潘家园,松榆里,31㎡,整租,南,4460,季付价,1室,1厅,1卫,随时入住,3~6个月,随时可看,6,6层,无,租用车位,民水,民电,有,集中供暖
房源编号：BJ2481857051341357056,北京,海淀,五棵松,太平路34号院,41㎡,整租,东,4200,季付价,1室,1厅,1卫,随时入住,3年以上,需提前预约,低楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2253730266034216960,北京,东城,永定门,西革新里108号院,35㎡,整租,南,4760,季付价,1室,1厅,1卫,随时入住,1年,随时可看,1,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2483938955821580288,北京,丰台,岳各庄,大井东里,64㎡,整租,南/北,4000,季付价,2室,1厅,1卫,随时入住,3年以上,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2484743890566397952,北京,东城,永定门,天天家园,73㎡,整租,东北,5300,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,11层,有,暂无数据,民水,民电,有,自采暖
房源编号：BJ2484649854916370432,北京,朝阳,双桥,管庄新村,57㎡,整租,南,3700,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,17层,有,暂无数据,民水,民电,有,自采暖
房源编号：BJ2217924268254306304,北京,石景山,古城,古城西路,41㎡,整租,东,3400,季付价,1室,1厅,1卫,随时入住,3年以上,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2459279956577099776,北京,朝阳,垡头,垡头西里二区,61㎡,整租,南/北,4200,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2468217931771674624,北京,丰台,刘家窑,南三环中路,53㎡,整租,西北,4000,半年付价,1室,1厅,1卫,随时入住,3年以上,需提前预约,低楼层,18层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2468741076891484160,北京,朝阳,劲松,武圣东里,45㎡,整租,南,4200,季付价,1室,1厅,1卫,随时入住,3年以上,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2496501100749275136,北京,朝阳,酒仙桥,丽都职工宿舍,7㎡,合租,南卧,2490,季付价,3居,室 ,7㎡,随时入住,1年,随时可看,8,23层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2434696064902119424,北京,朝阳,垡头,垡头西里三区,58㎡,整租,南/北,4300,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2556567346701672448,北京,朝阳,常营,定福家园北里1号院,9㎡,合租,北卧,2970,季付价,2居,室 ,9㎡,随时入住,3~6个月,随时可看,15,23层,有,租用车位,民水,民电,有,自采暖
房源编号：BJ2415268042054574080,北京,海淀,白石桥,大慧寺21号院,43㎡,整租,南,4800,季付价,1室,1厅,1卫,随时入住,3年以上,需提前预约,地下室,6层,无,租用车位,民水,民电,有,集中供暖
房源编号：BJ2503888860053258240,北京,西城,金融街,宏汇园小区,7㎡,合租,南卧,3360,季付价,3居,室 ,7㎡,随时入住,3~6个月,随时可看,1,7层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2425149309491625984,北京,东城,朝阳门内,大雅宝胡同,15㎡,整租,北,3500,季付价,1室,1厅,0卫,随时入住,2年以内,需提前预约,低楼层,1层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
房源编号：BJ2531228224294223872,北京,海淀,双榆树,知春里,8㎡,合租,西卧,3460,季付价,3居,室 ,8㎡,随时入住,1年,随时可看,1,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2537226925080838144,北京,丰台,科技园区,四合欣园,10㎡,合租,南卧,2590,季付价,2居,室 ,10,随时入住,1年,随时可看,6,18层,有,租用车位,民水,民电,有,自采暖
房源编号：BJ2544290115225141248,北京,昌平,天通苑,天通苑北二区,9㎡,合租,北卧,2370,季付价,3居,室 ,9㎡,随时入住,3~6个月,随时可看,2,15层,有,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2554979102356406272,北京,海淀,苏州桥,小南庄社区,44㎡,整租,南,4500,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,地下室,6层,无,租用车位,民水,民电,有,集中供暖
房源编号：BJ2544802514276974592,北京,海淀,北太平庄,北影小区,14㎡,合租,北卧,3590,季付价,3居,室 ,14,随时入住,1年,随时可看,6,10层,有,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2555169424546480128,北京,丰台,科技园区,城市经典,39㎡,整租,南,3600,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,18层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2485175054271250432,北京,朝阳,安贞,安贞里,9㎡,合租,北卧,2990,季付价,3居,室 ,9㎡,随时入住,1~4个月,随时可看,5,6层,无,租用车位,民水,民电,有,集中供暖
房源编号：BJ2555717980428173312,北京,朝阳,定福庄,花园闸小区,55㎡,整租,东南,4200,季付价,1室,1厅,1卫,2020-08-01,2年以内,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2488259672084324352,北京,朝阳,高碑店,兴隆家园,8㎡,合租,北卧,2390,季付价,3居,室 ,8㎡,随时入住,1年,随时可看,6,6层,无,租用车位,民水,民电,有,集中供暖
房源编号：BJ2556274905221955584,北京,朝阳,管庄,杨闸新村,60㎡,整租,南,3800,NULL,1室,1厅,1卫,随时入住,暂无数据,需提前预约,低楼层,16层,有,租用车位,民水,民电,有,自采暖
房源编号：BJ2556473730348367872,北京,东城,永定门,景泰西里,55㎡,整租,东/西,4600,季付价,2室,1厅,1卫,随时入住,2年以内,需提前预约,高楼层,6层,无,租用车位,民水,民电,有,集中供暖
房源编号：BJ2557915305024430080,北京,西城,牛街,双槐里,46㎡,整租,西南,5000,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2558554712760647680,北京,东城,天坛,天坛东里南区,37㎡,整租,南,4500,季付价,1室,1厅,1卫,随时入住,3年以上,需提前预约,中楼层,12层,有,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2558686947707469824,北京,丰台,丰台其它,张郭庄小区,57㎡,整租,南/北,3200,季付价,2室,1厅,1卫,随时入住,2年以内,需提前预约,中楼层,6层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
房源编号：BJ2485098709239463936,北京,朝阳,甘露园,甘露家园,7㎡,合租,西卧,2290,季付价,3居,室 ,7㎡,随时入住,1年,随时可看,16,16层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2558693462618669056,北京,海淀,公主坟,翠微路4号,30㎡,整租,西,3600,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,5层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2506149916024242176,北京,朝阳,十里堡,十里堡北里,8㎡,合租,南卧,2590,季付价,3居,室 ,8㎡,随时入住,1年,随时可看,1,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2559930685788274688,北京,东城,永定门,富莱茵花园,48㎡,整租,西南,4200,季付价,2室,1厅,1卫,2020-08-06,3年以内,需提前预约,低楼层,21层,有,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2557857085333176320,北京,东城,永定门,西革新里124号,51㎡,整租,南,4500,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2558445375199649792,北京,海淀,西三旗,育新花园,52㎡,整租,东,4200,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,低楼层,5层,无,租用车位,民水,民电,有,集中供暖
房源编号：BJ2558500077773791232,北京,房山,良乡,拱辰南大街26号院,55㎡,整租,南/北,2300,季付价,2室,1厅,1卫,随时入住,2年以内,需提前预约,高楼层,6层,无,暂无数据,暂无数据,暂无数据,暂无数据,集中供暖
房源编号：BJ2558461395914203136,北京,东城,东四,华人一品阁,20㎡,整租,南,3000,季付价,1房,间1,卫 ,随时入住,3年以上,需提前预约,低楼层,3层,有,暂无数据,商水,商电,无,集中供暖
房源编号：BJ2558640824255004672,北京,朝阳,豆各庄,朝丰家园,78㎡,整租,南/北,4200,季付价,2室,1厅,1卫,随时入住,3年以上,需提前预约,低楼层,15层,有,租用车位,民水,民电,有,自采暖
房源编号：BJ2546327482278084608,北京,海淀,苏州桥,小南庄社区,46㎡,整租,东,4300,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,地下室,6层,无,租用车位,民水,民电,有,集中供暖
房源编号：BJ2272307321331777536,北京,通州,通州北苑,西马庄园,9㎡,合租,北卧,1730,季付价,3居,室 ,9㎡,随时入住,3~6个月,随时可看,1,6层,无,租用车位,民水,民电,有,集中供暖
房源编号：BJ2546872239102902272,北京,顺义,顺义城,幸福东区,60㎡,整租,东/西,3000,季付价,2室,1厅,1卫,随时入住,2年以内,需提前预约,中楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2559540146248613888,北京,朝阳,十八里店,小红门乡新村二期D区,7㎡,合租,北卧,1930,季付价,2居,室 ,7㎡,随时入住,1年,随时可看,2,28层,有,租用车位,民水,民电,有,自采暖
房源编号：BJ2547890955659247616,北京,东城,天坛,天坛东里中区,56㎡,整租,南/北,5100,季付价,2室,1厅,1卫,随时入住,3年以上,需提前预约,中楼层,4层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2252216072377729024,北京,通州,武夷花园,月季园,10㎡,合租,西卧,2370,季付价,2居,室 ,10,随时入住,3~6个月,随时可看,12,18层,有,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2548438860778438656,北京,房山,良乡,首开熙悦睿府书香,50㎡,整租,北,2200,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,中楼层,16层,有,暂无数据,暂无数据,暂无数据,无,集中供暖
房源编号：BJ2490173872100614144,北京,朝阳,惠新西街,胜古南里,11㎡,合租,南卧,3130,季付价,3居,室 ,11,随时入住,1~4个月,随时可看,4,5层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2062017235161194496,北京,顺义,中央别墅区,住总正华新国展满庭芳,8㎡,合租,北卧,1790,季付价,3居,室 ,8㎡,随时入住,1年,随时可看,1,15层,有,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2492496079430623232,北京,亦庄开发区,亦庄,新康家园,15㎡,合租,北卧,2590,季付价,3居,室 ,15,随时入住,1年,随时可看,1,7层,无,租用车位,民水,民电,有,集中供暖
房源编号：BJ2539365946301087744,北京,丰台,科技园区,御景春天,48㎡,整租,南,3920,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,低楼层,21层,有,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2559524211534340096,北京,顺义,顺义城,双兴南区,9㎡,合租,北卧,1560,季付价,4居,室 ,9㎡,随时入住,1年,随时可看,2,5层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2540676024648073216,北京,顺义,顺义城,胜利小区,44㎡,整租,南,2900,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,低楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2062017235161194496,北京,顺义,中央别墅区,住总正华新国展满庭芳,8㎡,合租,北卧,1790,季付价,3居,室 ,8㎡,随时入住,1年,随时可看,1,15层,有,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2554338964677074944,北京,朝阳,石佛营,石佛营西里小区,46㎡,整租,南,3900,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,低楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2566661965464207360,北京,海淀,知春路,蓟门东里,10㎡,合租,北卧,2800,季付价,3居,室 ,10,随时入住,1年,随时可看,12,15层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2554226837132165120,北京,朝阳,垡头,翠成馨园D区,64㎡,整租,东,4250,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,低楼层,22层,有,暂无数据,民水,民电,有,自采暖
房源编号：BJ2554406680750194688,北京,西城,马连道,太平里,40㎡,整租,南/北,3200,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,地下室,7层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2554341402046119936,北京,朝阳,甘露园,甘露园南里,44㎡,整租,东,3800,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2554426303491350528,北京,顺义,顺义城,建新南区,64㎡,整租,南/北,3000,NULL,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2555234789653217280,北京,石景山,八角,八角北里,40㎡,整租,南,3400,季付价,1室,1厅,1卫,随时入住,3年以上,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2564068624994410496,北京,昌平,东关,京科苑,20㎡,合租,北卧,1930,季付价,3居,室 ,20,随时入住,1年,随时可看,5,6层,无,租用车位,民水,民电,有,自采暖
房源编号：BJ2555876079785222144,北京,朝阳,定福庄,三间房南里7号院,45㎡,整租,南,3400,NULL,1室,1厅,1卫,随时入住,暂无数据,需提前预约,低楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2479907828760838144,北京,丰台,北京南站,翠林一里,7㎡,合租,北卧,2430,季付价,2居,室 ,7㎡,随时入住,1年,随时可看,6,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2555829620242907136,北京,朝阳,常营,金隅丽景园,51㎡,整租,东,4600,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,中楼层,22层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2555895011623575552,北京,大兴,枣园,双河北里,69㎡,整租,南/北,2700,季付价,2室,1厅,1卫,随时入住,2年以内,需提前预约,低楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2526589796122632192,北京,丰台,宋家庄,日新家园,55㎡,整租,东北,4000,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,低楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2526747706601242624,北京,东城,陶然亭,车站路6号院,54㎡,整租,南/北,4900,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,5层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2526799091925516288,北京,东城,工体,工体北路,46㎡,整租,南,5000,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,16层,有,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2527549176011554816,北京,大兴,黄村中,黄村西里,43㎡,整租,南,2900,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,5层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2527665046780116992,北京,朝阳,四惠,八里庄西里,37㎡,整租,东南,4350,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,低楼层,21层,有,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2533432766079975424,北京,石景山,古城,十万坪,16㎡,合租,南卧,2860,季付价,2居,室 ,16,随时入住,1年,随时可看,3,5层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2528160091900231680,北京,亦庄开发区,亦庄,兴盛国际,39㎡,整租,东,2700,季付价,1房,间1,卫 ,随时入住,1年以内,需提前预约,中楼层,10层,有,租用车位,暂无数据,暂无数据,无,集中供暖
房源编号：BJ2566621470071996416,北京,海淀,厂洼,厂洼小区,15㎡,合租,南卧,4490,季付价,3居,室 ,15,随时入住,1年,随时可看,2,6层,无,租用车位,民水,民电,有,集中供暖
房源编号：BJ2554866474548469760,北京,丰台,看丹桥,造甲北里,54㎡,整租,南/北,3500,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2543382668704489472,北京,昌平,沙河,白各庄新村,15㎡,合租,南卧,1730,季付价,3居,室 ,15,随时入住,1年,随时可看,1,17层,有,暂无数据,民水,民电,有,自采暖
房源编号：BJ2554486045966073856,北京,西城,广安门,荣丰2008,28㎡,整租,北,3500,季付价,1室,0厅,1卫,2020-07-25,1年以内,需提前预约,中楼层,20层,有,暂无数据,民水,民电,无,集中供暖
房源编号：BJ2549212505763487744,北京,顺义,顺义城,裕龙一区,8㎡,合租,北卧,1430,季付价,5居,室 ,8㎡,随时入住,1年,随时可看,6,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2558015076695556096,北京,朝阳,东坝,金隅悦和园,6㎡,合租,西卧,1960,季付价,3居,室 ,6㎡,随时入住,3~6个月,随时可看,25,28层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2528978272692207616,北京,丰台,科技园区,首开花香四季,7㎡,合租,北卧,1890,季付价,3居,室 ,7㎡,随时入住,3~6个月,随时可看,16,21层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2554866474548469760,北京,丰台,看丹桥,造甲北里,54㎡,整租,南/北,3500,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2529243608541315072,北京,通州,潞苑,华龙小区,7㎡,合租,北卧,1460,季付价,2居,室 ,7㎡,随时入住,3~6个月,随时可看,4,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2554486045966073856,北京,西城,广安门,荣丰2008,28㎡,整租,北,3500,季付价,1室,0厅,1卫,2020-07-25,1年以内,需提前预约,中楼层,20层,有,暂无数据,民水,民电,无,集中供暖
房源编号：BJ2528978272692207616,北京,丰台,科技园区,首开花香四季,7㎡,合租,北卧,1890,季付价,3居,室 ,7㎡,随时入住,3~6个月,随时可看,16,21层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2555234789653217280,北京,石景山,八角,八角北里,40㎡,整租,南,3400,季付价,1室,1厅,1卫,随时入住,3年以上,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
